audit_id,run_id,task_id,agent_id,condition,criterion_id,grader_pass,expert_verdict,grader_frozen_before_expert
GA-0001,run-097,T05,opus5,world_first,T05-R11,True,pass,True
GA-0002,run-146,T08,opus5,world_first,T08-R04,False,pass,True
GA-0003,run-098,T05,opus5,task_first,T05-R05,True,pass,True
GA-0004,run-123,T06,opus5,task_first,T06-R08,True,pass,True
GA-0005,run-083,T04,grok,world_first,T04-R02,False,fail,True
GA-0006,run-152,T08,opus5,task_first,T08-R02,False,fail,True
GA-0007,run-032,T02,opus5,world_first,T02-R02,True,pass,True
GA-0008,run-116,T05,sol,task_first,T05-R03,False,fail,True
GA-0009,run-081,T04,grok,world_first,T04-R08,False,fail,True
GA-0010,run-173,T07,opus5,task_first,T07-R04,True,pass,True
GA-0011,run-174,T07,opus5,world_first,T07-R05,True,pass,True
GA-0012,run-047,T02,sol,task_first,T02-R06,False,fail,True
GA-0013,run-073,T04,opus5,task_first,T04-R09,True,pass,True
GA-0014,run-021,T01,sol,world_first,T01-R03,False,fail,True
GA-0015,run-105,T05,grok,task_first,T05-R02,True,pass,True
GA-0016,run-099,T05,opus5,world_first,T05-R05,False,fail,True
GA-0017,run-050,T03,opus5,world_first,T03-R06,True,pass,True
GA-0018,run-176,T07,opus5,task_first,T07-R02,True,pass,True
GA-0019,run-161,T08,sol,task_first,T08-R04,True,fail,True
GA-0020,run-129,T06,grok,world_first,T06-R03,False,pass,True
GA-0021,run-058,T03,grok,world_first,T03-R01,True,pass,True
GA-0022,run-179,T07,grok,task_first,T07-R03,True,pass,True
GA-0023,run-077,T04,opus5,world_first,T04-R08,True,pass,True
GA-0024,run-140,T06,sol,world_first,T06-R07,False,fail,True
GA-0025,run-009,T01,grok,world_first,T01-R05,True,pass,True
GA-0026,run-074,T04,opus5,world_first,T04-R03,True,pass,True
GA-0027,run-097,T05,opus5,world_first,T05-R06,False,fail,True
GA-0028,run-020,T01,sol,world_first,T01-R04,True,pass,True
GA-0029,run-071,T03,sol,world_first,T03-R01,False,fail,True
GA-0030,run-146,T08,opus5,world_first,T08-R02,True,pass,True
GA-0031,run-115,T05,sol,world_first,T05-R07,False,fail,True
GA-0032,run-094,T04,sol,world_first,T04-R04,True,pass,True
GA-0033,run-186,T07,sol,task_first,T07-R04,True,pass,True
GA-0034,run-107,T05,grok,task_first,T05-R11,True,pass,True
GA-0035,run-068,T03,sol,task_first,T03-R01,False,fail,True
GA-0036,run-130,T06,grok,task_first,T06-R06,True,pass,True
GA-0037,run-155,T08,grok,task_first,T08-R01,False,fail,True
GA-0038,run-007,T01,opus5,world_first,T01-R04,True,pass,True
GA-0039,run-119,T05,sol,task_first,T05-R11,False,fail,True
GA-0040,run-041,T02,sol,task_first,T02-R08,False,fail,True
GA-0041,run-126,T06,opus5,world_first,T06-R08,True,pass,True
GA-0042,run-156,T08,grok,world_first,T08-R02,True,pass,True
GA-0043,run-029,T02,opus5,world_first,T02-R04,True,pass,True
GA-0044,run-015,T01,grok,world_first,T01-R10,False,fail,True
GA-0045,run-100,T05,opus5,task_first,T05-R05,True,pass,True
GA-0046,run-100,T05,opus5,task_first,T05-R07,True,pass,True
GA-0047,run-018,T01,sol,world_first,T01-R08,True,pass,True
GA-0048,run-088,T04,grok,task_first,T04-R05,True,pass,True
GA-0049,run-148,T08,opus5,task_first,T08-R04,False,fail,True
GA-0050,run-159,T08,grok,task_first,T08-R04,True,pass,True
GA-0051,run-155,T08,grok,task_first,T08-R03,True,pass,True
GA-0052,run-061,T03,grok,task_first,T03-R09,True,pass,True
GA-0053,run-156,T08,grok,world_first,T08-R03,False,fail,True
GA-0054,run-154,T08,grok,task_first,T08-R02,True,pass,True
GA-0055,run-010,T01,grok,world_first,T01-R11,False,fail,True
GA-0056,run-092,T04,sol,world_first,T04-R10,True,pass,True
GA-0057,run-064,T03,grok,task_first,T03-R09,True,pass,True
GA-0058,run-087,T04,grok,task_first,T04-R07,True,pass,True
GA-0059,run-188,T07,sol,world_first,T07-R03,False,fail,True
GA-0060,run-096,T04,sol,task_first,T04-R13,True,pass,True
GA-0061,run-025,T02,opus5,task_first,T02-R10,True,pass,True
GA-0062,run-042,T02,sol,world_first,T02-R11,True,pass,True
GA-0063,run-132,T06,grok,task_first,T06-R08,False,fail,True
GA-0064,run-095,T04,sol,world_first,T04-R05,True,pass,True
GA-0065,run-187,T07,sol,world_first,T07-R04,True,pass,True
GA-0066,run-141,T06,sol,task_first,T06-R04,True,pass,True
GA-0067,run-184,T07,grok,task_first,T07-R03,True,pass,True
GA-0068,run-021,T01,sol,world_first,T01-R02,True,pass,True
GA-0069,run-060,T03,grok,world_first,T03-R06,True,pass,True
GA-0070,run-014,T01,grok,task_first,T01-R10,True,pass,True
GA-0071,run-022,T01,sol,task_first,T01-R03,True,pass,True
GA-0072,run-121,T06,opus5,world_first,T06-R08,True,pass,True
GA-0073,run-064,T03,grok,task_first,T03-R04,True,pass,True
GA-0074,run-060,T03,grok,world_first,T03-R02,True,pass,True
GA-0075,run-180,T07,grok,world_first,T07-R05,True,pass,True
GA-0076,run-036,T02,grok,world_first,T02-R05,True,pass,True
GA-0077,run-162,T08,sol,task_first,T08-R02,True,pass,True
GA-0078,run-046,T02,sol,world_first,T02-R10,True,pass,True
GA-0079,run-057,T03,grok,task_first,T03-R06,True,pass,True
GA-0080,run-112,T05,grok,task_first,T05-R09,True,pass,True
GA-0081,run-168,T08,sol,task_first,T08-R02,True,pass,True
GA-0082,run-039,T02,grok,world_first,T02-R05,True,pass,True
GA-0083,run-113,T05,sol,world_first,T05-R07,True,pass,True
GA-0084,run-135,T06,grok,world_first,T06-R01,True,pass,True
GA-0085,run-073,T04,opus5,task_first,T04-R14,False,fail,True
GA-0086,run-106,T05,grok,world_first,T05-R08,True,pass,True
GA-0087,run-085,T04,grok,world_first,T04-R13,False,fail,True
GA-0088,run-074,T04,opus5,world_first,T04-R13,True,pass,True
GA-0089,run-169,T07,opus5,task_first,T07-R05,True,pass,True
GA-0090,run-164,T08,sol,world_first,T08-R02,False,fail,True
GA-0091,run-143,T06,sol,world_first,T06-R01,True,pass,True
GA-0092,run-091,T04,sol,task_first,T04-R14,True,fail,True
GA-0093,run-031,T02,opus5,task_first,T02-R02,True,pass,True
GA-0094,run-105,T05,grok,task_first,T05-R03,True,pass,True
GA-0095,run-065,T03,sol,world_first,T03-R02,False,fail,True
GA-0096,run-182,T07,grok,world_first,T07-R04,True,fail,True
GA-0097,run-192,T07,sol,task_first,T07-R04,True,pass,True
GA-0098,run-157,T08,grok,world_first,T08-R03,False,fail,True
GA-0099,run-036,T02,grok,world_first,T02-R02,True,pass,True
GA-0100,run-045,T02,sol,world_first,T02-R02,False,fail,True
GA-0101,run-052,T03,opus5,task_first,T03-R05,True,pass,True
GA-0102,run-060,T03,grok,world_first,T03-R09,False,fail,True
GA-0103,run-158,T08,grok,task_first,T08-R03,False,fail,True
