task_id,curator_id,stage,timestamp,actor,n_sources,note
T01,curator-1,submitted,2026-08-28T10:30:34Z,curator-1,11,Curator submission covering 11/11 criteria.
T01,curator-1,completeness_review,2026-08-28T11:54:34Z,completeness-reviewer,11,No missing criteria.
T01,curator-1,adjudicator_decision,2026-08-28T13:04:45Z,adjudicator,11,All declared sufficient source sets are covered.
T01,curator-1,final_packet,2026-08-28T13:20:17Z,release-freeze,11,Frozen packet used for matched evaluation.
T01,curator-2,submitted,2026-08-28T10:03:29Z,curator-2,11,Curator submission covering 11/11 criteria.
T01,curator-2,completeness_review,2026-08-28T13:08:40Z,completeness-reviewer,11,No missing criteria.
T01,curator-2,adjudicator_decision,2026-08-28T14:37:01Z,adjudicator,11,All declared sufficient source sets are covered.
T01,curator-2,final_packet,2026-08-28T14:51:03Z,release-freeze,11,Frozen packet used for matched evaluation.
T02,curator-1,submitted,2026-08-28T13:16:03Z,curator-1,10,Curator submission covering 11/11 criteria.
T02,curator-1,completeness_review,2026-08-28T15:14:36Z,completeness-reviewer,10,No missing criteria.
T02,curator-1,adjudicator_decision,2026-08-28T16:21:18Z,adjudicator,10,All declared sufficient source sets are covered.
T02,curator-1,final_packet,2026-08-28T16:36:42Z,release-freeze,10,Frozen packet used for matched evaluation.
T02,curator-2,submitted,2026-08-28T12:56:14Z,curator-2,10,Curator submission covering 11/11 criteria.
T02,curator-2,completeness_review,2026-08-28T14:16:36Z,completeness-reviewer,10,No missing criteria.
T02,curator-2,adjudicator_decision,2026-08-28T15:38:54Z,adjudicator,10,All declared sufficient source sets are covered.
T02,curator-2,final_packet,2026-08-28T16:52:06Z,release-freeze,10,Frozen packet used for matched evaluation.
T03,curator-1,submitted,2026-08-28T16:35:18Z,curator-1,9,Curator submission covering 9/9 criteria.
T03,curator-1,completeness_review,2026-08-28T19:36:05Z,completeness-reviewer,9,No missing criteria.
T03,curator-1,adjudicator_decision,2026-08-28T22:02:49Z,adjudicator,9,All declared sufficient source sets are covered.
T03,curator-1,final_packet,2026-08-28T23:13:17Z,release-freeze,9,Frozen packet used for matched evaluation.
T03,curator-2,submitted,2026-08-28T15:50:47Z,curator-2,8,Curator submission covering 7/9 criteria.
