criterion_id,task_id,reviewer,solvable,locators,submitted_at,sheet_version
T07-R01,T07,reviewer_2,True,filesystem:email/qc/metrology-queue.eml|filesystem:qc/assets/criticality-ranking.pdf|filesystem:qms/equipment/oq-status.docx,2026-08-26T11:29:13Z,v1
T07-R02,T07,reviewer_2,True,filesystem:email/qc/metrology-queue.eml|filesystem:qc/assets/criticality-ranking.pdf|filesystem:qc/metrology/calibration-certs.pdf|filesystem:qms/equipment/oq-status.docx|filesystem:qms/equipment/overdue-oq-note.docx,2026-08-26T11:29:13Z,v1
T07-R03,T07,reviewer_2,True,filesystem:email/qc/metrology-queue.eml|filesystem:qc/assets/criticality-ranking.pdf|filesystem:qc/assets/soonest-lapsing.csv,2026-08-26T11:29:13Z,v1
T07-R04,T07,reviewer_2,True,filesystem:email/qc/metrology-queue.eml|filesystem:qc/assets/criticality-ranking.pdf|filesystem:qms/equipment/oq-status.docx,2026-08-26T11:29:13Z,v1
T07-R05,T07,reviewer_2,True,filesystem:email/qc/metrology-queue.eml|filesystem:qc/assets/qualification-gap-list.xlsx|filesystem:qms/equipment/oq-status.docx,2026-08-26T11:29:13Z,v1
T08-R01,T08,reviewer_2,True,filesystem:lab/stability/chamber-assignment.csv|filesystem:qc/stability/method-transfer-memo.docx|filesystem:qc/stability/oos-investigations.pdf|filesystem:qc/stability/regression-workbook.xlsx,2026-08-26T11:29:13Z,v1
T08-R02,T08,reviewer_2,True,filesystem:lab/stability/chamber-assignment.csv|filesystem:qc/stability/method-transfer-memo.docx|filesystem:qc/stability/oos-investigations.pdf|filesystem:qc/stability/retest-policy.pdf,2026-08-26T11:29:13Z,v1
T08-R03,T08,reviewer_2,True,filesystem:email/qc/shelf-life-question.eml|filesystem:lab/stability/chamber-assignment.csv|filesystem:qc/stability/oos-investigations.pdf|filesystem:qc/stability/regression-workbook.xlsx,2026-08-26T11:29:13Z,v1
T08-R04,T08,reviewer_2,True,filesystem:email/qc/shelf-life-question.eml|filesystem:lab/stability/chamber-assignment.csv|filesystem:qc/stability/regression-workbook.xlsx,2026-08-26T11:29:13Z,v1
T08-R05,T08,reviewer_2,True,filesystem:lab/stability/chamber-assignment.csv|filesystem:qc/stability/oos-investigations.pdf|filesystem:qc/stability/regression-workbook.xlsx,2026-08-26T11:29:13Z,v1
T01-R01,T01,reviewer_2,True,filesystem:desk/RA/cmc/authority-q-list.docx|filesystem:desk/RA/cmc/commitment-tracker.xlsx|filesystem:email/inbox/stability-query-2025.eml|filesystem:lab/stability/chamber-alarm-log.csv|filesystem:reg/cmc/ir-history-index.pdf|filesystem:reg/cmc/module-3-3-5-excerpt.pdf,2026-08-26T11:29:13Z,v1
T01-R02,T01,reviewer_2,False,filesystem:desk/RA/cmc/commitment-tracker.xlsx|filesystem:email/inbox/stability-query-2025.eml|filesystem:reg/cmc/ir-history-index.pdf|filesystem:reg/cmc/module-3-3-5-excerpt.pdf,2026-08-26T11:29:13Z,v1
T01-R03,T01,reviewer_2,True,filesystem:desk/RA/cmc/authority-q-list.docx|filesystem:qms/stability/commitment-bridge-memo.pdf|filesystem:reg/cmc/ir-history-index.pdf,2026-08-26T11:29:13Z,v1
T01-R04,T01,reviewer_2,True,filesystem:desk/RA/cmc/authority-q-list.docx|filesystem:email/inbox/stability-query-2025.eml|filesystem:qms/stability/commitment-bridge-memo.pdf|filesystem:sharepoint/cmc/annual-update-checklist.docx,2026-08-26T11:29:13Z,v1
T01-R05,T01,reviewer_2,True,filesystem:desk/RA/cmc/authority-q-list.docx|filesystem:email/inbox/stability-query-2025.eml|filesystem:lab/stability/chamber-alarm-log.csv|filesystem:qms/stability/commitment-bridge-memo.pdf|filesystem:reg/cmc/module-3-3-5-excerpt.pdf,2026-08-26T11:29:13Z,v1
T01-R06,T01,reviewer_2,True,filesystem:desk/RA/cmc/authority-q-list.docx|filesystem:desk/RA/cmc/commitment-tracker.xlsx|filesystem:desk/RA/cmc/stability/lot-trend-summary.xlsx|filesystem:email/inbox/stability-query-2025.eml|filesystem:lab/stability/chamber-alarm-log.csv|filesystem:qms/stability/commitment-bridge-memo.pdf|filesystem:reg/cmc/ir-history-index.pdf|filesystem:sharepoint/cmc/annual-update-checklist.docx,2026-08-26T11:29:13Z,v1
T01-R07,T01,reviewer_2,True,filesystem:desk/RA/cmc/authority-q-list.docx|filesystem:desk/RA/cmc/commitment-tracker.xlsx|filesystem:email/inbox/stability-query-2025.eml|filesystem:qms/stability/commitment-bridge-memo.pdf|filesystem:reg/cmc/module-3-3-5-excerpt.pdf,2026-08-26T11:29:13Z,v1
T01-R08,T01,reviewer_2,True,filesystem:email/inbox/stability-query-2025.eml|filesystem:qms/stability/commitment-bridge-memo.pdf|filesystem:reg/cmc/ir-history-index.pdf,2026-08-26T11:29:13Z,v1
T01-R09,T01,reviewer_2,True,filesystem:desk/RA/cmc/authority-q-list.docx|filesystem:email/inbox/stability-query-2025.eml|filesystem:reg/cmc/ir-history-index.pdf|filesystem:sharepoint/cmc/annual-update-checklist.docx,2026-08-26T11:29:13Z,v1
T01-R10,T01,reviewer_2,True,filesystem:desk/RA/cmc/authority-q-list.docx|filesystem:desk/RA/cmc/commitment-tracker.xlsx|filesystem:email/inbox/stability-query-2025.eml|filesystem:lab/stability/chamber-alarm-log.csv|filesystem:reg/cmc/ir-history-index.pdf,2026-08-26T11:29:13Z,v1
T01-R11,T01,reviewer_2,True,filesystem:desk/RA/cmc/authority-q-list.docx|filesystem:desk/RA/cmc/stability/lot-trend-summary.xlsx|filesystem:email/inbox/stability-query-2025.eml|filesystem:lab/stability/chamber-alarm-log.csv|filesystem:sharepoint/cmc/annual-update-checklist.docx,2026-08-26T11:29:13Z,v1
T02-R01,T02,reviewer_2,True,filesystem:msat/packaging/line-clearance-photo.jpg|filesystem:qa/packaging/complaint-trend.xlsx|filesystem:qms/deviations/overwrap-ccit-note.docx,2026-08-26T11:29:13Z,v1
T02-R02,T02,reviewer_2,True,filesystem:msat/packaging/seal-strength-raw.csv|filesystem:qa/packaging/complaint-trend.xlsx|filesystem:qms/change/cr-overwrap-014.pdf|filesystem:qms/deviations/overwrap-ccit-note.docx|filesystem:reg/packaging/spec-redline-v3.docx,2026-08-26T11:29:13Z,v1
T02-R03,T02,reviewer_2,True,filesystem:msat/packaging/line-clearance-photo.jpg|filesystem:msat/packaging/seal-strength-raw.csv|filesystem:qa/packaging/complaint-trend.xlsx|filesystem:qms/deviations/overwrap-ccit-note.docx,2026-08-26T11:29:13Z,v1
T02-R04,T02,reviewer_2,True,filesystem:msat/packaging/line-clearance-photo.jpg|filesystem:msat/packaging/seal-strength-raw.csv|filesystem:qms/change/cr-overwrap-014.pdf|filesystem:qms/deviations/overwrap-ccit-note.docx|filesystem:reg/cmc/container-closure-section.pdf,2026-08-26T11:29:13Z,v1
T02-R05,T02,reviewer_2,True,filesystem:email/msat/supplier-quote-thread.eml|filesystem:msat/packaging/line-clearance-photo.jpg|filesystem:msat/packaging/seal-strength-raw.csv|filesystem:qms/deviations/overwrap-ccit-note.docx,2026-08-26T11:29:13Z,v1
T02-R06,T02,reviewer_2,True,filesystem:email/msat/supplier-quote-thread.eml|filesystem:msat/packaging/line-clearance-photo.jpg|filesystem:qa/packaging/complaint-trend.xlsx|filesystem:qms/deviations/overwrap-ccit-note.docx|filesystem:reg/cmc/container-closure-section.pdf|filesystem:reg/packaging/spec-redline-v3.docx,2026-08-26T11:29:13Z,v1
T02-R07,T02,reviewer_2,True,filesystem:email/qa/overwrap-complaint-fwd.eml|filesystem:msat/packaging/line-clearance-photo.jpg|filesystem:qms/deviations/overwrap-ccit-note.docx,2026-08-26T11:29:13Z,v1
T02-R08,T02,reviewer_2,True,filesystem:email/msat/supplier-quote-thread.eml|filesystem:msat/packaging/line-clearance-photo.jpg|filesystem:qa/packaging/complaint-trend.xlsx|filesystem:qms/change/cr-overwrap-014.pdf|filesystem:qms/deviations/overwrap-ccit-note.docx,2026-08-26T11:29:13Z,v1
