audit_id,run_id,task_id,criterion_id,coder,label,submitted_at,sheet_version
AA-0001,run-082,T04,T04-R04,coder_b,accessed,2026-09-12T11:12:48Z,v1
AA-0002,run-008,T01,T01-R04,coder_b,accessed,2026-09-12T11:12:48Z,v1
AA-0003,run-009,T01,T01-R08,coder_b,accessed,2026-09-12T11:12:48Z,v1
AA-0004,run-067,T03,T03-R05,coder_b,not_accessed,2026-09-12T11:12:48Z,v1
AA-0005,run-150,T08,T08-R05,coder_b,accessed,2026-09-12T11:12:48Z,v1
AA-0006,run-170,T07,T07-R05,coder_b,not_accessed,2026-09-12T11:12:48Z,v1
AA-0007,run-140,T06,T06-R02,coder_b,accessed,2026-09-12T11:12:48Z,v1
AA-0008,run-032,T02,T02-R11,coder_b,accessed,2026-09-12T11:12:48Z,v1
AA-0009,run-002,T01,T01-R02,coder_b,accessed,2026-09-12T11:12:48Z,v1
AA-0010,run-087,T04,T04-R10,coder_b,accessed,2026-09-12T11:12:48Z,v1
AA-0011,run-075,T04,T04-R13,coder_b,accessed,2026-09-12T11:12:48Z,v1
AA-0012,run-084,T04,T04-R01,coder_b,accessed,2026-09-12T11:12:48Z,v1
AA-0013,run-033,T02,T02-R10,coder_b,not_accessed,2026-09-12T11:12:48Z,v1
AA-0014,run-044,T02,T02-R11,coder_b,not_accessed,2026-09-12T11:12:48Z,v1
AA-0015,run-097,T05,T05-R08,coder_b,not_accessed,2026-09-12T11:12:48Z,v1
AA-0016,run-092,T04,T04-R01,coder_b,accessed,2026-09-12T11:12:48Z,v1
AA-0017,run-155,T08,T08-R05,coder_b,accessed,2026-09-12T11:12:48Z,v1
AA-0018,run-131,T06,T06-R03,coder_b,accessed,2026-09-12T11:12:48Z,v1
AA-0019,run-075,T04,T04-R08,coder_b,accessed,2026-09-12T11:12:48Z,v1
AA-0020,run-026,T02,T02-R04,coder_b,accessed,2026-09-12T11:12:48Z,v1
AA-0021,run-011,T01,T01-R10,coder_b,accessed,2026-09-12T11:12:48Z,v1
AA-0022,run-095,T04,T04-R12,coder_b,accessed,2026-09-12T11:12:48Z,v1
AA-0023,run-094,T04,T04-R09,coder_b,not_accessed,2026-09-12T11:12:48Z,v1
AA-0024,run-098,T05,T05-R09,coder_b,accessed,2026-09-12T11:12:48Z,v1
